"Lang","To","From","ToExposed","PairDirFound","Token","IndexExists","HasRelated","RelatedCount","HasExplainer","HasTitle","HasH1"
"ar","html","tiff","True","True","to","True","False","0","False","True","True"
"ar","html","tsv","True","True","to","True","False","0","False","True","True"
"ar","html","txt","True","True","to","True","False","0","False","True","True"
"ar","html","txz","True","True","to","True","False","0","False","True","True"
"ar","html","wav","True","True","to","True","False","0","False","True","True"
"ar","html","webm","True","True","to","True","False","0","False","True","True"
"ar","html","webp","True","True","to","True","False","0","False","True","True"
"ar","html","xlsx","True","True","to","True","False","0","False","True","True"
"ar","html","zip","True","True","to","True","False","0","False","True","True"
"ar","jpeg","7z","True","True","to","True","False","0","False","True","True"
"ar","jpeg","aac","True","True","to","True","False","0","False","True","True"
"ar","jpeg","aiff","True","True","to","True","False","0","False","True","True"
"ar","jpeg","bmp","True","True","to","True","False","0","False","True","True"
"ar","jpeg","csv","True","True","to","True","False","0","False","True","True"
"ar","jpeg","docx","True","True","to","True","False","0","False","True","True"
"ar","jpeg","flac","True","True","to","True","False","0","False","True","True"
"ar","jpeg","gif","True","True","to","True","False","0","False","True","True"
"ar","jpeg","html","True","True","to","True","False","0","False","True","True"
"ar","jpeg","jpg","True","True","to","True","False","0","False","True","True"
"ar","jpeg","json","True","True","to","True","False","0","False","True","True"
"ar","jpeg","jsonl","True","True","to","True","False","0","False","True","True"
"ar","jpeg","m4a","True","True","to","True","False","0","False","True","True"
"ar","jpeg","m4v","True","True","to","True","False","0","False","True","True"
"ar","jpeg","md","True","True","to","True","False","0","False","True","True"
"ar","jpeg","mkv","True","True","to","True","False","0","False","True","True"
"ar","jpeg","mov","True","True","to","True","False","0","False","True","True"
"ar","jpeg","mp3","True","True","to","True","False","0","False","True","True"
"ar","jpeg","mp4","True","True","to","True","False","0","False","True","True"
"ar","jpeg","ogg","True","True","to","True","False","0","False","True","True"
"ar","jpeg","opus","True","True","to","True","False","0","False","True","True"
"ar","jpeg","pdf","True","True","to","True","False","0","False","True","True"
"ar","jpeg","png","True","True","to","True","False","0","False","True","True"
"ar","jpeg","pptx","True","True","to","True","False","0","False","True","True"
"ar","jpeg","rar","True","True","to","True","False","0","False","True","True"
"ar","jpeg","rtf","True","True","to","True","False","0","False","True","True"
"ar","jpeg","svg","True","True","to","True","False","0","False","True","True"
"ar","jpeg","tar","True","True","to","True","False","0","False","True","True"
"ar","jpeg","tar.bz2","True","True","to","True","False","0","False","True","True"
"ar","jpeg","tar.gz","True","True","to","True","False","0","False","True","True"
"ar","jpeg","tar.xz","True","True","to","True","False","0","False","True","True"
"ar","jpeg","tbz","True","True","to","True","False","0","False","True","True"
"ar","jpeg","tgz","True","True","to","True","False","0","False","True","True"
"ar","jpeg","tiff","True","True","to","True","False","0","False","True","True"
"ar","jpeg","tsv","True","True","to","True","False","0","False","True","True"
"ar","jpeg","txt","True","True","to","True","False","0","False","True","True"
"ar","jpeg","txz","True","True","to","True","False","0","False","True","True"
"ar","jpeg","wav","True","True","to","True","False","0","False","True","True"
"ar","jpeg","webm","True","True","to","True","False","0","False","True","True"
"ar","jpeg","webp","True","True","to","True","False","0","False","True","True"
"ar","jpeg","xlsx","True","True","to","True","False","0","False","True","True"
"ar","jpeg","zip","True","True","to","True","False","0","False","True","True"
"ar","jpg","7z","True","True","to","True","False","0","False","True","True"
"ar","jpg","aac","True","True","to","True","False","0","False","True","True"
"ar","jpg","aiff","True","True","to","True","False","0","False","True","True"
"ar","jpg","bmp","True","True","to","True","False","0","False","True","True"
"ar","jpg","csv","True","True","to","True","False","0","False","True","True"
"ar","jpg","docx","True","True","to","True","False","0","False","True","True"
"ar","jpg","flac","True","True","to","True","False","0","False","True","True"
"ar","jpg","gif","True","True","to","True","False","0","False","True","True"
"ar","jpg","html","True","True","to","True","False","0","False","True","True"
"ar","jpg","jpeg","True","True","to","True","False","0","False","True","True"
"ar","jpg","json","True","True","to","True","False","0","False","True","True"
"ar","jpg","jsonl","True","True","to","True","False","0","False","True","True"
"ar","jpg","m4a","True","True","to","True","False","0","False","True","True"
"ar","jpg","m4v","True","True","to","True","False","0","False","True","True"
"ar","jpg","md","True","True","to","True","False","0","False","True","True"
"ar","jpg","mkv","True","True","to","True","False","0","False","True","True"
"ar","jpg","mov","True","True","to","True","False","0","False","True","True"
"ar","jpg","mp3","True","True","to","True","False","0","False","True","True"
"ar","jpg","mp4","True","True","to","True","False","0","False","True","True"
"ar","jpg","ogg","True","True","to","True","False","0","False","True","True"
"ar","jpg","opus","True","True","to","True","False","0","False","True","True"
"ar","jpg","pdf","True","True","to","True","False","0","False","True","True"
"ar","jpg","png","True","True","to","True","False","0","False","True","True"
"ar","jpg","pptx","True","True","to","True","False","0","False","True","True"
"ar","jpg","rar","True","True","to","True","False","0","False","True","True"
"ar","jpg","rtf","True","True","to","True","False","0","False","True","True"
"ar","jpg","svg","True","True","to","True","False","0","False","True","True"
"ar","jpg","tar","True","True","to","True","False","0","False","True","True"
"ar","jpg","tar.bz2","True","True","to","True","False","0","False","True","True"
"ar","jpg","tar.gz","True","True","to","True","False","0","False","True","True"
"ar","jpg","tar.xz","True","True","to","True","False","0","False","True","True"
"ar","jpg","tbz","True","True","to","True","False","0","False","True","True"
"ar","jpg","tgz","True","True","to","True","False","0","False","True","True"
"ar","jpg","tiff","True","True","to","True","False","0","False","True","True"
"ar","jpg","tsv","True","True","to","True","False","0","False","True","True"
"ar","jpg","txt","True","True","to","True","False","0","False","True","True"
"ar","jpg","txz","True","True","to","True","False","0","False","True","True"
