"Lang","Path","HasRelated","AnchorCount","BrokenTargets"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\txt-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\txz-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\wav-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\webm-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\webp-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\xlsx-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\zip-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\7z-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\aac-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\aiff-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\csv-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\docx-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\flac-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\gif-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\html-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\jpeg-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\jpg-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\json-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\jsonl-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\m4a-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\m4v-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\md-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\mkv-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\mov-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\mp3-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\mp4-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\ogg-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\opus-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\pdf-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\png-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\pptx-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\rar-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\rtf-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\svg-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\tar-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\tar.bz2-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\tar.gz-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\tar.xz-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\tbz-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\tgz-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\tiff-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\tsv-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\txt-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\txz-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\wav-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\webm-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\webp-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\xlsx-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\bmp\zip-a-bmp\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\7z-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\aac-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\aiff-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\bmp-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\docx-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\flac-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\gif-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\html-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\jpeg-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\jpg-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\json-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\jsonl-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\m4a-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\m4v-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\md-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\mkv-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\mov-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\mp3-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\mp4-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\ogg-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\opus-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\pdf-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\png-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\pptx-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\rar-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\rtf-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\svg-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\tar-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\tar.bz2-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\tar.gz-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\tar.xz-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\tbz-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\tgz-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\tiff-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\tsv-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\txt-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\txz-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\wav-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\webm-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\webp-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\xlsx-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\csv\zip-a-csv\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\7z-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\aac-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\aiff-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\bmp-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\csv-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\flac-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\gif-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\html-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\jpeg-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\jpg-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\json-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\jsonl-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\m4a-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\m4v-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\md-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\mkv-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\mov-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\mp3-a-docx\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\docx\mp4-a-docx\index.html","True","41","0"
